------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [4e-06, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
      135    7.609926e+04   5.637176e+04   2.063420e+02          1     661365
      136    5.891810e+04   5.638809e+04   2.078809e+02          1     666264
      137    6.628659e+04   5.638967e+04   2.094762e+02          1     671163
      138    5.477973e+04   5.640891e+04   2.110621e+02          1     676062
      139    7.432434e+04   5.641197e+04   2.126014e+02          1     680961
      140    5.286303e+04   5.641942e+04   2.141672e+02          1     685860
      141    4.879578e+04   5.642788e+04   2.157558e+02          1     690759
      142    5.612265e+04   5.645736e+04   2.173161e+02          1     695658
      143    5.853266e+04   5.646369e+04   2.188865e+02          1     700557
      144    6.352848e+04   5.646435e+04   2.204780e+02          1     705456
      145    4.012306e+04   5.649362e+04   2.220453e+02          1     710355
      146    5.248254e+04   5.649739e+04   2.235950e+02          1     715254
      147    7.786050e+04   5.651197e+04   2.251893e+02          1     720153
      148    5.769101e+04   5.651560e+04   2.267856e+02          1     725052
      149    6.751818e+04   5.652066e+04   2.283544e+02          1     729951
      150    5.796640e+04   5.652684e+04   2.299246e+02          1     734850
      151    5.672996e+04   5.652686e+04   2.315107e+02          1     739749
      152    4.898504e+04   5.652688e+04   2.330712e+02          1     744648
      153    6.330691e+04   5.655031e+04   2.346589e+02          1     749547
      154    9.598428e+04   5.655627e+04   2.362445e+02          1     754446
      155    5.162983e+04   5.656096e+04   2.378085e+02          1     759345
      156    5.575056e+04   5.656104e+04   2.394291e+02          1     764244
      157    5.014619e+04   5.656112e+04   2.410272e+02          1     769143
      158    5.174650e+04   5.656501e+04   2.426324e+02          1     774042
      159    4.635479e+04   5.656977e+04   2.441868e+02          1     778941
      160    5.434415e+04   5.657275e+04   2.457809e+02          1     783840
      161    5.304597e+04   5.657938e+04   2.473825e+02          1     788739
      162    4.971057e+04   5.658077e+04   2.489535e+02          1     793638
      163    4.381667e+04   5.658479e+04   2.505506e+02          1     798537

Terminating training
  Status         : bound_stalling
  Total time (s) : 2.505506e+02
  Total solves   : 798537
  Best bound     :  5.658479e+04
  Simulation CI  :  6.008228e+04 ± 2.183208e+03
------------------------------------------------------------------------------
